"Latitude","CMT Primary","Segment","Site Name","Longitude","Region","Engagement","Country","City","Training","Site Code"
"5.317","No","Chocolate","Abidjan","-4.017","META","Zero","Ivory Coast","Abidjan","None","ABJ"
"5.466997","No","Chocolate","Accra","-0.164795","META","Zero","Ghana","Accra","None","ACC"
"31.57780","No","Chocolate","Albany","-84.17562","North America","Partial: Training 2","United States","Albany","2014-Submitted","ALB"
"45.9","No","Petcare","Annecy","6.1166667","Western Europe","Zero","France","Annecy","None","ANN"
"35.300177","No","Petcare","Ft. Smith","-94.289684","North America","Zero","United States","Ft. Smith","None","ARK"
"41.0666667","Yes","Petcare","Arevalo","-4.7166667","Western Europe","Partial: CMT 2","Spain","Arevalo, Avila","None","ARV"
"-33.693695","Yes","Wrigley","Asquith/Wrigley Austrailia","151.115003","Asia Pacific","Full","Australia","Asquith NSW","2014-Submitted","ASQ"
"14.5709688","No","Wrigley","Antipolo","121.0255233","Asia Pacific","Zero","Philippines","Makati","None","ATP"
"37.983","No","Food","Athens","23.733","Western Europe","Zero","Greece","Peania","None","ATH"
"21.5","No","Chocolate","Saudi Arabia","39.17","META","Zero","Saudi Arabia","TBD","None","ATS"
"-36.8666667","Yes","Petcare","Auckland","174.7666667","Asia Pacific","Partial: CMT 2","New Zealand","Auckland","None","AUK"
"41.884684","Yes","Wrigley","Northwestern Flavors","-88.211753","North America","Partial: CMT 2","United States","Chicago","None","AUR"
"30.9044857","No","Wrigley","Wrigley Baddi","77.0967357","META","Partial: CMT 2","Zero","India","Baddi","None","BAD"
"-14.7666667","No","Chocolate","Bahia","-39.45","Latin America","Zero","Brazil","Bahia","None","BAH"
"12.9750003","No","Wrigley","Wrigley Bangalore","77.6144217","META","Zero","India","Bangalore","None","BAN"
"18.2420","No","Chocolate","Bayamon","-66.1139","Latin America","Zero","Puerto Rico","Bayamon","None","BAW"
"10.951304","No","Petcare","Barranquilla","-74.789429","Latin America","Zero","Colombia","Barranquilla","None","BAR"
"18.38303","Yes","Chocolate","Guaynabo","-66.162643","Latin America","Partial: CMT 2","Puerto Rico","Guaynabo","None","BAY"
"48.25","Yes","Chocolate","Breitenbrunn","14.1666667","Western Europe","Partial: CMT 2","Austria","Breitenbrunn","None","BBN"
"39.9288889","Yes","Multisales","BJ Office","116.3883333","Asia Pacific","Partial: CMT 2","China","Beijing","None","BEI"
"36.36885","No","Chocolate","Bentonville","-94.20484","North America","Zero","United States","Rogers","None","BEN"
"48.0428785","Yes","Wrigley","BHM","7.5603012","Western Europe","Partial: CMT 2","France","Biesheim","None","BHM"
"43.8833333","No","Food","Bolton","-79.7333333","North America","Partial: Training 2","Canada","Bolton","2014-Submitted","BFP"
"4.6473016","Yes","Petcare","Bogota","-74.0962677","Latin America","Partial: CMT 2","Colombia","Bogota","None","BOG"
"43.874200","No","Petcare","BPP","-79.730660","North America","Zero","Canada","Bolton","None","BPP"
"44.809956","Yes","Food","Serbia","20.380088","Central Europe/CIS","Partial: CMT 2","Serbia","New Belgrade","None","BLG"
"46.7","Yes","Petcare","Bokros","20.15","Central Europe/CIS","Partial: CMT 2","Hungary","Csongrad-Bokros","None","BOK"
"48.15","No","Petcare","Bratislava","17.1166666","Central Europe/CIS","Zero","Slovakia","Bratislava 3","None","BRA"
"43.8833333","No","Food","Bolton","-79.7333333","North America","Zero","Canada","Bolton","None","BOL"
"48.0166667","Yes","Petcare","Bruck","16.7666667","Western Europe","Partial: CMT 2","Austria","Bruck/Leitha","None","BRK"
