Latitude,Longitude,CMT Primary,Segment,Site Name,Region,Engagement,Country,City,Training,,
5.317,-4.017,No,Chocolate,Abidjan,META,Zero,Ivory Coast,Abidjan,None,,
5.466997,-0.164795,No,Chocolate,Accra,META,Zero,Ghana,Accra,None,,
31.5778,-84.17562,No,Chocolate,Albany,North America,Partial: Training 2,United States,Albany,2014-Submitted,,
45.9,6.1166667,No,Pets,Annecy,Western Europe,Zero,France,Annecy,None,,
35.300177,-94.289684,No,Pets,Ft. Smith,North America,Zero,United States,Ft. Smith,None,,
41.0666667,-4.7166667,Yes,Pets,Arevalo,Western Europe,Partial: CMT 2,Spain,"Arevalo, Avila",None,,
-33.693695,151.115003,Yes,WRG,Asquith/WRG Austrailia,Asia Pacific,Full,Australia,Asquith NSW,2014-Submitted,,
14.5709688,121.0255233,No,WRG,Antipolo,Asia Pacific,Zero,Philippines,Makati,None,,
37.983,23.733,No,Food,Athens,Western Europe,Zero,Greece,Peania,None,,
21.5,39.17,No,Chocolate,Saudi Arabia,META,Zero,Saudi Arabia,TBD,None,,
-36.8666667,174.7666667,Yes,Pets,Auckland,Asia Pacific,Partial: CMT 2,New Zealand,Auckland,None,,
41.884684,-88.211753,Yes,WRG,Northwestern Flavors,North America,Partial: CMT 2,United States,Chicago,None,,
30.9044857,77.0967357,No,WRG,WRG Baddi,META,Partial: CMT 2,Zero,India,Baddi,,BAD
-14.7666667,-39.45,No,Chocolate,Bahia,Latin America,Zero,Brazil,Bahia,None,,
12.9750003,77.6144217,No,WRG,WRG Bangalore,META,Zero,India,Bangalore,None,,
18.242,-66.1139,No,Chocolate,Bayamon,Latin America,Zero,Puerto Rico,Bayamon,None,,
10.951304,-74.789429,No,Pets,Barranquilla,Latin America,Zero,Colombia,Barranquilla,None,,
18.38303,-66.162643,Yes,Chocolate,Guaynabo,Latin America,Partial: CMT 2,Puerto Rico,Guaynabo,None,,
48.25,14.1666667,Yes,Chocolate,Breitenbrunn,Western Europe,Partial: CMT 2,Austria,Breitenbrunn,None,,
39.9288889,116.3883333,Yes,Multisales,BJ Office,Asia Pacific,Partial: CMT 2,China,Beijing,None,,
36.36885,-94.20484,No,Chocolate,Bentonville,North America,Zero,United States,Rogers,None,,
48.0428785,7.5603012,Yes,WRG,BHM,Western Europe,Partial: CMT 2,France,Biesheim,None,,
43.8833333,-79.7333333,No,Food,Bolton,North America,Partial: Training 2,Canada,Bolton,2014-Submitted,,
4.6473016,-74.0962677,Yes,Pets,Bogota,Latin America,Partial: CMT 2,Colombia,Bogota,None,,
43.8742,-79.73066,No,Pets,BPP,North America,Zero,Canada,Bolton,None,,
44.809956,20.380088,Yes,Food,Serbia,Central Europe/CIS,Partial: CMT 2,Serbia,New Belgrade,None,,
46.7,20.15,Yes,Pets,Bokros,Central Europe/CIS,Partial: CMT 2,Hungary,Csongrad-Bokros,None,,
48.15,17.1166666,No,Pets,Bratislava,Central Europe/CIS,Zero,Slovakia,Bratislava 3,None,,
43.8833333,-79.7333333,No,Food,Bolton,North America,Zero,Canada,Bolton,None,,
48.0166667,16.7666667,Yes,Pets,Bruck,Western Europe,Partial: CMT 2,Austria,Bruck/Leitha,None,,
36.035288,-86.805725,No,Pets,Brentwood,North America,Zero,United States,Franklin,None,,
48.14589,17.10714,No,RCC,Bratislava,Central Europe/CIS,Zero,Slovakia,Bratislava,None,,
50.8714709,4.4616308,Yes,Food,Brussels,Western Europe,Partial: CMT 2,Belgium,Sint-Stevens-Woluwe,None,,
50.8692,4.45024,No,Multisales,Brussels,Western Europe,Zero,Belgium,Sint-Stevens-Woluwe,None,,
44.39258,26.171494,No,Food,Bucharest,Central Europe/CIS,Zero,Romania,Bucharest,None,,
-33.428272,149.639102,Yes,Pets,Bathurst,Asia Pacific,Partial: CMT 2,Australia,Raglan,None,,
-34.5875,-58.6725,No,Pets,Buenos Aires,Latin America,Zero,Argentina,San Isidro,None,,
47.478668,19.027529,No,Food,Budapest,Central Europe/CIS,Zero,Hungary,Budapest,None,,
41.7509,-87.92059,No,Chocolate,Burr Ridge,North America,Partial: Training 2,United States,Burr Ridge,2014-Submitted,,
30.0333333,31.35,No,Chocolate,Cairo,META,Zero,Egypt,Maadi,None,,
41.530442,2.145701,Yes,WRG,Santiga/WRG Cafosa,Western Europe,Partial: CMT 2,Spain,Santiga,None,,
51.04532,-114.0581,No,WRG,Calgary,North America,Zero,Canada,Calgary,None,,
-22.90994,-47.06263,No,RCC,Campinas,Latin America,Zero,Brazil,Campinas,None,,
46.202185,1.264387,No,RCC,Canals,Western Europe,Zero,Western Europe,Canals,None,,
10.49102,-66.90206,No,Pets,Caracas,Latin America,Zero,Venezuela,Caracas,None,,
33.5930556,-7.6163889,No,Chocolate,Morocco,META,Zero,Morocco,Casablanca,None,,
-33.9237762,18.4233455,No,Food,Cape Town,META,Zero,South Africa,Cape Town,None,,
37.755821,-121.417422,Yes,Pets,Tracy,North America,Partial: CMT 2,United States,Tracy,None,,
30.57227,104.06654,No,Pets,Chengdu,Asia Pacific,Zero,China,Chengdu,None,,
31.223995,121.473019,No,Pets,Christchurch,Asia Pacific,Zero,New Zealand,Christchurch,None,,
40.28889,-75.20966,No,Pets,Chalfont,North America,Zero,United States,Chalfont,None,,
54.3569983,48.8499488,No,Chocolate,Cherdakly,Central Europe/CIS,Zero,Russia,Cherdakly,None,,
48.0833333,1.3333333,Yes,Food,Chateaudun,Western Europe,Partial: CMT 2,France,Chateaudun,None,,
41.9188,-87.7947,No,Chocolate,Chicago,North America,Partial: Training 2,United States,Chicago,2014-Submitted,,
39.1398,-84.50595,No,Multisales,Cincinnatti,North America,Zero,United States,Cincinnatti,None,,
30.6666667,104.0666667,No,Chocolate,Chengdu,Asia Pacific,Zero,China,Chengdu,None,,
44.17333,28.63833,No,RCC,Constanta,Central Europe/CIS,Zero,Romania,Constanta,None,,
35.199412,-84.868591,Yes,Chocolate,Cleveland,North America,Partial: CMT 1,United States,Cleveland,2014-NotSubmitted,,
55.6329846,12.581538,Yes,Food,Copenhagen,Western Europe,Partial: CMT 2,Denmark,Copenhagen S,None,,
-22.947072,-47.118623,Yes,Pets,CPS,Latin America,Partial: CMT 2,Brazil,Campinas,None,,
19.43,-99.14,No,Pets,Del. Coyoac?n,Latin America,Zero,Mexico,Del. Coyoac?n,None,,
23.1206008,113.3283946,No,WRG,Guangzhou,Asia Pacific,Zero,China,Guangzhou,None,,
18.92184,-99.22661,No,Pets,Cuernavaca Morelos,Latin America,Zero,Mexico,Cuernavaca Morelos,None,,
40.801108,-81.68777,Yes,Pets,Dalton,North America,Partial: CMT 2,United States,Dalton,None,,
-22.7863,-43.30531,No,RCC,Duque de Caxias,Latin America,Zero,Brazil,Duque de Caxias,None,,
45.87705,22.91302,No,RCC,DEVA,Central Europe/CIS,Zero,Romania,DEVA,None,,
20.6075821,-100.0807298,No,Pets,Queretaro,Latin America,Zero,Mexico,Queretaro,None,,
48.7666667,7.4166667,No,Chocolate,Steinbourg,Western Europe,Zero,France,Steinbourg,None,,
45.404356,9.129896,Yes,Pets,Assago,Western Europe,Partial: CMT 2,Italy,Assago,None,,
53.3330556,-6.2488889,No,Food,Dublin,Western Europe,Zero,Ireland,Dublin,None,,
25.047664,55.181741,No,Chocolate,Dubai DXD,META,Zero,United Arab Emirates,Dubai,None,,
38.76992,-90.46675,No,RCC,Earth City,North America,Zero,United States,Earth City,None,,
36.03366,-115.00236,No,Chocolate,MR Retail Group Las Vegas,North America,Zero,United States,Henderson,None,,
36.072603,-115.071108,No,Chocolate,MR Chocolate NA Henderson,North America,Zero,United States,Henderson,None,,
48.0166667,16.7666667,No,Food,Bruck/Leitha,Central Europe/CIS,Zero,Austria,Bruck/Leitha,None,,
56.85,60.6,Yes,Chocolate,Ekaterinburg,Central Europe/CIS,Partial: CMT 2,Russia,Ekaterinburg,None,,
40.15355,-76.59862,No,Chocolate,Elizabethtown,North America,Zero,United States,Elizabethtown,None,,
48.5666667,7.5666667,Yes,Pets,Ernolsheim,Western Europe,Partial: CMT 2,France,Ernolsheim zur Bruche,None,,
41.904816,-87.656732,No,WRG,Chicago,North America,Zero,United States,Chicago,None,,
51.6166667,5.55,No,Chocolate,Chocoalte Veghel,Western Europe,Zero,Netherlands,Veghel,None,,
51.6166667,5.55,No,Pets,Petcare Veghel,Western Europe,Zero,Netherlands,Veghel,None,,
41.03333333,28.96666667,No,Chocolate,Istanbul,META,Zero,Turkey,"Esentepe, Istanbul",None,,
33.88,35.5,No,Chocolate,Lebanon,META,Zero,Lebanon,Beirut,None,,
25.047664,55.181741,No,Chocolate,Dubai,META,Zero,United Arab Emirates,Dubai,None,,
-25.6241667,28.0941667,No,Pets,Rosslyn,META,Zero,South Africa,Rosslyn,None,,
49,2.5166667,Yes,Drinks,Roissy,Western Europe,Partial: CMT 2,France,Roissy,None,,
51.2666667,-1.0833333,Yes,Drinks,Basingstoke,Western Europe,Full,United Kingdom,Basingstoke,2014-Submitted,,
52.922845,9.287375,Yes,Drinks,Verden (Drinks),Western Europe,Partial: CMT 2,Germany,Verden/Aller,None,,
35.933315,-86.805596,Yes,Pets,FTN,North America,Partial: CMT 1,United States,Franklin,2014-NotSubmitted,,
55.7127778,21.4033333,Yes,Pets,Gargzdai,Central Europe/CIS,Partial: CMT 2,Lithuania,Gargzdai,None,,
20.4167,-102.9,No,Pets,Poncitlan,Latin America,Zero,Mexico,Poncitlan,None,,
41.9071454,-87.656372,Yes,WRG,WRG Global Innovation Center,North America,Full,United States,Chicago,2014-Submitted,,
39.08,-77.15,No,Other,Germantown,North America,Zero,United States,Germantown,None,,
36.2969938,120.0091596,No,WRG,WRG Guangzhou,Asia Pacific,Zero,China,Guangzhou,None,,
28.4595,77.02664,No,Chocolate,Gurgaon,META,Zero,India,Gurgaon,None,,
34.1580532,-83.9108968,Yes,WRG,WRG Gainesville,North America,Partial: CMT 2,United States,Flowery Branch,None,,
33.3953,-91.0501,Yes,Food,"Greenville, MS",North America,Full,United States,Greenville,2014-Submitted,,
52.40637,16.92517,No,Other,Poznan,Central Europe/CIS,Zero,Poland,Poznan,None,,
-23.4166667,-46.0333333,No,Other,Guararema (MIS),Latin America,Zero,Brazil,Guararema,None,,
-23.4166667,-46.0333333,No,Chocolate,Guararema,Latin America,Zero,Brazil,Guararema,None,,
23.1166667,113.25,No,Chocolate,Guangzhou,Asia Pacific,Zero,China,Guangzhou,None,,
48.8166667,7.7833333,No,Chocolate,Haguenau,Western Europe,Zero,France,Haguenau,None,,
40.8622999,-74.8272953,No,Chocolate,Hackettstown (HKP),North America,Partial: Training 2,United States,Hackettstown,2014-Submitted,,
10.29,106.23,No,Pets,Ho Chi Minh City,Asia Pacific,Zero,Vietnam,Ho Chi Minh City,None,,
60.190823,24.973125,Yes,Food,Helsinki,Western Europe,Partial: CMT 1,Finland,Helsinki,2014-NotSubmitted,,
-39.930089,175.04789,Yes,Pets,HPT,Asia Pacific,Partial: CMT 2,New Zealand,Wanganui,None,,
40.8622999,-74.8272953,No,Chocolate,Hackettstown,North America,Partial: Training 2,United States,Hackettstown,2014-Submitted,,
40.309299,116.627403,No,Pets,Huairou (Pet),Asia Pacific,Zero,China,Beijing,None,,
17.3752778,78.4744444,No,Pets,Hyderabad,META,Zero,India,Hyderabad,None,,
51.52549,-0.63184,Yes,Other,MIS UK,Western Europe,Partial: CMT 2,United Kingdom,Slough,None,,
40.3133333,116.6288889,No,Chocolate,Huairou (Snack),Asia Pacific,Zero,China,Huairou,None,,
23.1525002,113.2519989,No,Other,MR IS China,Asia Pacific,Zero,China,Zhujiang Xincheng,None,,
54.9166667,38.1,No,Other,Moscow MIS,Central Europe/CIS,Zero,RUSSIA,Stupino-1,None,,
40.03157,-75.63001,No,Other,Exton - MR IS Data Center,North America,Zero,United States,Exton,None,,
-6.305,106.6511111,No,Food,Jakarta,Asia Pacific,Zero,Indonesia,Jakarta Selatan,None,,
41.906177,-87.653566,No,WRG,ITC,North America,Zero,United States,Chicago,None,,
52.22934,20.23836,Yes,Chocolate,MR Polska sp. z o.o.,Central Europe/CIS,Partial: CMT 2,Poland,Sochaczew,None,,
54.55186,36.2851,No,RCC,Kaluga,Central Europe/CIS,Zero,Russia,Kaluga,None,,
21.52,39.22,No,Chocolate,APT,META,Zero,Saudi Arabia,Jeddah,None,,
39.152594,-94.582071,No,Pets,N. Kansas City,North America,Zero,United States,Kansas City,None,,
30.71065376,120.7056069,No,Chocolate,JXG,Asia Pacific,Zero,China,Jiaxing City,None,,
22.799585,120.294971,No,Pets,Kaohsiung,Asia Pacific,Zero,Taiwan,TAIPEI CITY,None,,
21.54333,39.17278,No,Chocolate,KEC,META,Zero,Saudi Arabia,Jeddah,None,,
50.4333333,30.5166667,Yes,Chocolate,Kiev,Central Europe/CIS,Partial: CMT 2,Ukraine,Kiev,None,,
39.9730791,-83.13495576,No,Pets,Columbus,North America,Zero,United States,Columbus,None,,
39.47703,-88.36883,No,Pets,Mattoon,North America,Zero,United States,Mattoon,None,,
39.5539041,-119.551883,No,Pets,Reno,North America,Zero,United States,Sparks,None,,
34.69008,135.19551,No,Pets,Kobe,Asia Pacific,Zero,Japan,Kobe,None,,
33.9451036,-80.9376527,No,Pets,Columbia,North America,Zero,United States,Columbia,None,,
52.742303,0.410887,No,Food,King's Lynn,Western Europe,Zero,United Kingdom,King's Lynn,None,,
39.114053,-94.627464,No,Pets,Kansas City,North America,Zero,United States,Kansas City,None,,
37.075587,-94.644492,No,Pets,KSH,North America,Zero,United States,Galena,None,,
36.103937,-115.172639,No,Chocolate,Las Vegas,North America,Zero,United States,Las Vegas,None,,
45.0421487,38.9806403,No,Chocolate,Krasnodar,Central Europe/CIS,Zero,Russia,Krasnodar,None,,
44.56595,6.19406,No,RCC,la B?tie Neuve,Western Europe,Zero,France,la B?tie Neuve,None,,
-12.05,-77.05,No,Pets,Lima,Latin America,Zero,Peru,San Isidro / Lima,None,,
46.0552778,14.5144444,Yes,Food,Ljubljana,Central Europe/CIS,Partial: CMT 2,Slovenia,Ljubljana,None,,
36.2081,-86.2911,Yes,Pets,"Lebanon, TN",North America,Full,United States,Lebanon,2014-Submitted,,
51.5117673,-0.1283168793,No,Chocolate,London,Western Europe,Zero,United Kingdom,London,None,,
36.1856309,-86.2708368,No,Pets,Lebanon,North America,Zero,United States,Lebanon,None,,
38.6833333,-9.3166667,Yes,Food,Oeiras,Western Europe,Partial: CMT 2,Portugal,Leiao,None,,
54.8425,38.0958333,No,Pets,Luzhniki,Central Europe/CIS,Zero,RUSSIA,Luzhsniki,None,,
54.9361111,39.0166667,No,Food,Lukovitsy,Central Europe/CIS,Zero,RUSSIA,Lukovitsy,None,,
-34.61945,-58.64775,No,RCC,Mar de Plata,Latin America,Zero,Argentina,Mar de Plata,None,,
14.5569444,121.0294444,No,Pets,Manila,Asia Pacific,Zero,Philippines,Makati City,None,,
40.393159,-3.850879,No,Pets,MBO,Western Europe,Zero,Spain,TBD,None,,
51.5269188,-0.6307037,No,Chocolate,Slough,Western Europe,Zero,United Kingdom,Slough,None,,
40.4,-3.6833333,Yes,Pets,Madrid,Western Europe,Partial: CMT 2,Spain,"Las Rozas, Madrid",None,,
-37.53566179,143.8029242,Yes,Chocolate,Ballarat,Asia Pacific,Partial: CMT 2,Australia,Wendouree,None,,
52.6333333,-1.1333333,Yes,Pets,Melton,Western Europe,Full,United Kingdom,Leicestershire,2014-Submitted,,
-34.655063,-59.331579,Yes,Pets,Mercedes,Latin America,Partial: CMT 2,Argentina,Mercedes,None,,
19.4,-99.05,Yes,Pets,Mexico City,Latin America,Full,Mexico,Mexico City,2014-Submitted,,
-33.326084,151.417129,Yes,Food,Wyong,Asia Pacific,Partial: CMT 2,Australia,Berkeley Vale,None,,
20.58879,-100.38989,No,Pets,Queretaro,Latin America,Zero,Mexico,Queretaro,None,,
40.895827,-74.728133,No,Chocolate,MR Global Chocolate (Mount Olive),North America,Zero,United States,Mt. Olive,None,,
41.87811,-87.6298,No,Other,MGI,North America,Zero,United States,Chicago,None,,
52.0333333,-0.7,Yes,Pets,Milton Keynes,Western Europe,Partial: CMT 2,United Kingdom,Milton Keynes,None,,
54.3214798,48.3856504,Yes,Pets,MIRNY,Central Europe/CIS,Partial: CMT 2,RUSSIA,Ulyanovsk,None,,
52.2833333,8.9166667,Yes,Pets,Minden,Western Europe,Partial: CMT 2,Germany,Minden,None,,
3.1666667,101.7,Yes,Pets,Kuala Lumpur,Asia Pacific,Partial: CMT 2,Malaysia,Petaling Jaya,None,,
-37.8166667,144.9666667,No,Chocolate,Melbourne,Asia Pacific,Zero,Australia,Melbourne,None,,
40.893516,-74.719563,No,Other,Mount Olive - Americas Treasury & Benefit Center,North America,Zero,United States,Mt. Olive,None,,
50.4944,7.7597,No,Other,MOG,Western Europe,Zero,Germany,Mogendorf,None,,
50.11933,19.85463,No,RCC,Modlniczka,Central Europe/CIS,Zero,Poland,Modlniczka,None,,
55.75,37.62,No,Chocolate,Moscow,Central Europe/CIS,Zero,RUSSIA,Moscow,None,,
-22.4333333,-46.95,Yes,Pets,Mogi Mirim,Latin America,Partial: CMT 2,Brazil,Mogi Mirim,None,,
53.9,27.5666667,No,Chocolate,Minsk,Central Europe/CIS,Zero,BELARUS,Minsk,None,,
44.977489,-93.27414,No,Chocolate,Minneapolis,North America,Zero,United States,Minneapolis,None,,
55.75583,37.6173,No,Pets,Moscow site,Central Europe/CIS,Zero,Russia,Moscow,None,,
40.898097,-74.638833,No,Chocolate,MR Retail Group Mt. Arlington,North America,Zero,United States,Mt. Arlington,None,,
55.75583,37.6173,No,RCC,Moscow,Central Europe/CIS,Zero,Russia,Moscow,None,,
40.898097,-74.638833,No,Chocolate,Dove Chocolate Discoveries Mount Arlington,North America,Zero,United States,Mount Arlington,None,,
45.50867,-73.55399,No,WRG,Montreal,North America,Zero,Canada,Montreal,None,,
25.2,-99.8166667,Yes,Chocolate,Montemorelos,Latin America,Partial: CMT 2,Mexico,Montemorelos,None,,
40.893516,-74.719563,Yes,Other,Mount Olive Data Center,North America,Partial: CMT 2,United States,Mt. Olive,None,,
40.851488,-74.732941,No,Other,Mount Olive Shared Services,North America,Zero,United States,Mt. Olive,None,,
25.686614,-100.316113,Yes,WRG,WRG Mex?co Business Office,Latin America,Full,Mexico,Monterrey,2014-Submitted,,
40.8622999,-74.8272953,No,Chocolate,North America Sales (Hackettstown),North America,Zero,United States,Hackettstown,None,,
-1.3020308,36.8380217,Yes,WRG,Nairobi/WRG East Africa,META,Partial: CMT 2,Kenya,Nairobi,None,,
38.937217,-77.181755,Yes,Other,McLean,North America,Partial: CMT 1,United States,McLean,2014-NotSubmitted,,
44.077058,-79.42615,No,Chocolate,Newmarket,North America,Zero,Canada,Newmarket,None,,
55.0411111,82.9344444,Yes,Pets,Novosibirsk,Central Europe/CIS,Partial: CMT 2,RUSSIA,Novosibirsk,None,,
42.5254977,-96.496056,No,Pets,North Sioux City,North America,Zero,United States,North Sioux City,None,,
40.761431,-73.98423,No,Chocolate,New York,North America,Zero,United States,New York,None,,
51.8333333,4.4166667,Yes,Food,Oud-Beijerland,Western Europe,Partial: CMT 2,Netherlands,Oud-Beijerland,None,,
39.537179,-83.399878,No,Pets,Washington Court House,North America,Zero,United States,Washington Court House,None,,
35.483693,-98.973051,No,Pets,Clinton,North America,Zero,United States,Clinton,None,,
30.0333333,31.35,No,Chocolate,October 6 City,META,Zero,Egypt,October 6 City,None,,
55.61792,36.79597,Yes,Chocolate,Odintsovo,Central Europe/CIS,Partial: CMT 2,Russia,Odintsovsky District,None,,
36.86715856,-94.85455155,No,Pets,Miami,North America,Zero,United States,Miami,None,,
51.152917,4.871385,Yes,Food,Olen,Western Europe,Partial: CMT 2,Belgium,Olen,None,,
28.45143,-81.400838,No,Chocolate,Orlando,North America,Zero,United States,Orlando,None,,
43.7191549,-79.3502773,Yes,WRG,Toronto/WRG Canada,North America,Full,Canada,Toronto,2014-Submitted,,
33.448559,-80.845771,No,Pets,Orangeburg,North America,Zero,United States,Orangeburg,None,,
59.9166667,10.75,Yes,Food,Oslo,Western Europe,Partial: CMT 1,Norway,Oslo,2014-NotSubmitted,,
34.686016,135.505714,Yes,Pets,Osaka,Asia Pacific,Partial: CMT 2,Japan,Osaka,None,,
8.983333,-79.516667,No,Chocolate,Panama City,Latin America,Zero,Panama,Panama City,None,,
52.5833333,-0.25,No,Pets,Peterborough,Western Europe,Zero,United Kingdom,Peterborough,None,,
36.7806,-119.79287,No,Food,Fresno,North America,Zero,United States,Fresno,None,,
14.76194444,101.45,Yes,Pets,Pak Chong,Asia Pacific,Partial: CMT 2,Thailand,Pak Chong,None,,
50.062446,14.440455,Yes,Pets,"MR Market - Michelska 1552/58, Praha 4",Central Europe/CIS,Partial: CMT 2,Czech Republic,Praha 4,None,,
-25.09942,-50.15832,No,Pets,Ponta Grossa,Latin America,Zero,Brazil,Ponta Grossa,None,,
33.44838,-112.07404,No,Pets,Phoenix,North America,Zero,United States,Phoenix,None,,
50.4133053,-4.0987224,Yes,WRG,Plymouth/WRG UK,Western Europe,Partial: CMT 2,United Kingdom,Plymouth,None,,
22.7003407,113.5467849,No,WRG,PNY,Asia Pacific,Zero,China,Panyu City,None,,
45.53825,-122.65649,No,Pets,Portland (POR),North America,Zero,United States,Portland,None,,
49.838957,14.674464,Yes,WRG,Porici,Central Europe/CIS,Partial: CMT 2,Czech Republic,Porici nad Sazavou,None,,
52.3701344,16.9569844,Yes,WRG,POZ,Central Europe/CIS,Partial: CMT 2,Poland,Ponzan,None,,
45.52345,-122.67621,No,Other,Portland,North America,Zero,United States,Portland,None,,
